"regcode","provcode","citycode","cityname","nscb_city_code","nscb_city_name","cityclassification","chartered","addedby","UserLevelID","dateupdated","status"
"02","0231","023117","MACONACON","023117","MACONACON",,,,,,
"02","0231","023118","DELFIN ALBANO (MAGSAYSAY)","023118","DELFIN ALBANO (MAGSAYSAY)",,,,,,
"02","0231","023119","MALLIG","023119","MALLIG",,,,,,
"02","0231","023120","NAGUILIAN","023120","NAGUILIAN",,,,,,
"02","0231","023121","PALANAN","023121","PALANAN",,,,,,
"02","0231","023122","QUEZON","023122","QUEZON",,,,,,
"02","0231","023123","QUIRINO","023123","QUIRINO",,,,,,
"02","0231","023124","RAMON","023124","RAMON",,,,,,
"02","0231","023125","REINA MERCEDES","023125","REINA MERCEDES",,,,,,
"02","0231","023126","ROXAS","023126","ROXAS",,,,,,
"02","0231","023127","SAN AGUSTIN","023127","SAN AGUSTIN",,,,,,
"02","0231","023128","SAN GUILLERMO","023128","SAN GUILLERMO",,,,,,
"02","0231","023129","SAN ISIDRO","023129","SAN ISIDRO",,,,,,
"02","0231","023130","SAN MANUEL","023130","SAN MANUEL",,,,,,
"02","0231","023131","SAN MARIANO","023131","SAN MARIANO",,,,,,
"02","0231","023132","SAN MATEO","023132","SAN MATEO",,,,,,
"02","0231","023133","SAN PABLO","023133","SAN PABLO",,,,,,
"02","0231","023134","SANTA MARIA","023134","SANTA MARIA",,,,,,
"02","0231","023135","CITY OF SANTIAGO","023135","CITY OF SANTIAGO",,,,,,
"02","0231","023136","SANTO TOMAS","023136","SANTO TOMAS",,,,,,
"02","0231","023137","TUMAUINI","023137","TUMAUINI",,,,,,
"02","0250","025001","AMBAGUIO","025001","AMBAGUIO",,,,,,
"02","0250","025002","ARITAO","025002","ARITAO",,,,,,
"02","0250","025003","BAGABAG","025003","BAGABAG",,,,,,
"02","0250","025004","BAMBANG","025004","BAMBANG",,,,,,
"02","0250","025005","BAYOMBONG (Capital)","025005","BAYOMBONG (Capital)",,,,,,
"02","0250","025006","DIADI","025006","DIADI",,,,,,
"02","0250","025007","DUPAX DEL NORTE","025007","DUPAX DEL NORTE",,,,,,
"02","0250","025008","DUPAX DEL SUR","025008","DUPAX DEL SUR",,,,,,
"02","0250","025009","KASIBU","025009","KASIBU",,,,,,
"02","0250","025010","KAYAPA","025010","KAYAPA",,,,,,
"02","0250","025011","QUEZON","025011","QUEZON",,,,,,
"02","0250","025012","SANTA FE","025012","SANTA FE",,,,,,
"02","0250","025013","SOLANO","025013","SOLANO",,,,,,
"02","0250","025014","VILLAVERDE","025014","VILLAVERDE",,,,,,
"02","0250","025015","ALFONSO CASTAÃ‚ÂEDA","025015","ALFONSO CASTANEDA",,,,,,
"02","0257","025701","AGLIPAY","025701","AGLIPAY",,,,,,
"02","0257","025702","CABARROGUIS (Capital)","025702","CABARROGUIS (Capital)",,,,,,
"02","0257","025703","DIFFUN","025703","DIFFUN",,,,,,
"02","0257","025704","MADDELA","025704","MADDELA",,,,,,
"02","0257","025705","SAGUDAY","025705","SAGUDAY",,,,,,
"02","0257","025706","NAGTIPUNAN","025706","NAGTIPUNAN",,,,,,
"03","0308","030801","ABUCAY","030801","ABUCAY",,,,,,
"03","0308","030802","BAGAC","030802","BAGAC",,,,,,
"03","0308","030803","CITY OF BALANGA (Capital)","030803","CITY OF BALANGA (Capital)",,,,,,
"03","0308","030804","DINALUPIHAN","030804","DINALUPIHAN",,,,,,
"03","0308","030805","HERMOSA","030805","HERMOSA",,,,,,
"03","0308","030806","LIMAY","030806","LIMAY",,,,,,
"03","0308","030807","MARIVELES","030807","MARIVELES",,,,,,
"03","0308","030808","MORONG","030808","MORONG",,,,,,
"03","0308","030809","ORANI","030809","ORANI",,,,,,
"03","0308","030810","ORION","030810","ORION",,,,,,
"03","0308","030811","PILAR","030811","PILAR",,,,,,
"03","0308","030812","SAMAL","030812","SAMAL",,,,,,
"03","0314","031401","ANGAT","031401","ANGAT",,,,,,
"03","0314","031402","BALAGTAS (BIGAA)","031402","BALAGTAS (BIGAA)",,,,,,
"03","0314","031403","BALIUAG","031403","BALIUAG",,,,,,
"03","0314","031404","BOCAUE","031404","BOCAUE",,,,,,
"03","0314","031405","BULACAN","031405","BULACAN",,,,,,
"03","0314","031406","BUSTOS","031406","BUSTOS",,,,,,
"03","0314","031407","CALUMPIT","031407","CALUMPIT",,,,,,
"03","0314","031408","GUIGUINTO","031408","GUIGUINTO",,,,,,
"03","0314","031409","HAGONOY","031409","HAGONOY",,,,,,
"03","0314","031410","CITY OF MALOLOS  (Capital)","031410","CITY OF MALOLOS  (Capital)",,,,,,
"03","0314","031411","MARILAO","031411","MARILAO",,,,,,
"03","0314","031412","MEYCAUAYAN","031412","MEYCAUAYAN",,,,,,
"03","0314","031413","NORZAGARAY","031413","NORZAGARAY",,,,,,
"03","0314","031414","OBANDO","031414","OBANDO",,,,,,
"03","0314","031415","PANDI","031415","PANDI",,,,,,
"03","0314","031416","PAOMBONG","031416","PAOMBONG",,,,,,
"03","0314","031417","PLARIDEL","031417","PLARIDEL",,,,,,
"03","0314","031418","PULILAN","031418","PULILAN",,,,,,
"03","0314","031419","SAN ILDEFONSO","031419","SAN ILDEFONSO",,,,,,
"03","0314","031420","CITY OF SAN JOSE DEL MONTE","031420","CITY OF SAN JOSE DEL MONTE",,,,,,
"03","0314","031421","SAN MIGUEL","031421","SAN MIGUEL",,,,,,
"03","0314","031422","SAN RAFAEL","031422","SAN RAFAEL",,,,,,
"03","0314","031423","SANTA MARIA","031423","SANTA MARIA",,,,,,
"03","0314","031424","DOÃ‚ÂA REMEDIOS TRINIDAD","031424","DOÃ‚ÂA REMEDIOS TRINIDAD",,,,,,
"03","0349","034901","ALIAGA","034901","ALIAGA",,,,,,
"03","0349","034902","BONGABON","034902","BONGABON",,,,,,
"03","0349","034903","CABANATUAN CITY","034903","CABANATUAN CITY",,,,,,
"03","0349","034904","CABIAO","034904","CABIAO",,,,,,
"03","0349","034905","CARRANGLAN","034905","CARRANGLAN",,,,,,
"03","0349","034906","CUYAPO","034906","CUYAPO",,,,,,
"03","0349","034907","GABALDON (BITULOK & SABANI)","034907","GABALDON (BITULOK & SABANI)",,,,,,
"03","0349","034908","CITY OF GAPAN","034908","CITY OF GAPAN",,,,,,
"03","0349","034909","GENERAL MAMERTO NATIVIDAD","034909","GENERAL MAMERTO NATIVIDAD",,,,,,
"03","0349","034910","GENERAL TINIO (PAPAYA)","034910","GENERAL TINIO (PAPAYA)",,,,,,
"03","0349","034911","GUIMBA","034911","GUIMBA",,,,,,
"03","0349","034912","JAEN","034912","JAEN",,,,,,
"03","0349","034913","LAUR","034913","LAUR",,,,,,
"03","0349","034914","LICAB","034914","LICAB",,,,,,
"03","0349","034915","LLANERA","034915","LLANERA",,,,,,
"03","0349","034916","LUPAO","034916","LUPAO",,,,,,
"03","0349","034917","SCIENCE CITY OF MUÃ‚ÂOZ","034917","SCIENCE CITY OF MUÃ‚ÂOZ",,,,,,
"03","0349","034918","NAMPICUAN","034918","NAMPICUAN",,,,,,
"03","0349","034919","PALAYAN CITY (Capital)","034919","PALAYAN CITY (Capital)",,,,,,
"03","0349","034920","PANTABANGAN","034920","PANTABANGAN",,,,,,
"03","0349","034921","PEÃ‚ÂARANDA","034921","PEÃ‚ÂARANDA",,,,,,
"03","0349","034922","QUEZON","034922","QUEZON",,,,,,
"03","0349","034923","RIZAL","034923","RIZAL",,,,,,
"03","0349","034924","SAN ANTONIO","034924","SAN ANTONIO",,,,,,
"03","0349","034925","SAN ISIDRO","034925","SAN ISIDRO",,,,,,
"03","0349","034926","SAN JOSE CITY","034926","SAN JOSE CITY",,,,,,
"03","0349","034927","SAN LEONARDO","034927","SAN LEONARDO",,,,,,
"03","0349","034928","SANTA ROSA","034928","SANTA ROSA",,,,,,
"03","0349","034929","SANTO DOMINGO","034929","SANTO DOMINGO",,,,,,
"03","0349","034930","TALAVERA","034930","TALAVERA",,,,,,
"03","0349","034931","TALUGTUG","034931","TALUGTUG",,,,,,
"03","0349","034932","ZARAGOZA","034932","ZARAGOZA",,,,,,
"03","0354","035401","ANGELES CITY","035401","ANGELES CITY",,,,,,
"03","0354","035402","APALIT","035402","APALIT",,,,,,
"03","0354","035403","ARAYAT","035403","ARAYAT",,,,,,
"03","0354","035404","BACOLOR","035404","BACOLOR",,,,,,
"03","0354","035405","CANDABA","035405","CANDABA",,,,,,
"03","0354","035406","FLORIDABLANCA","035406","FLORIDABLANCA",,,,,,
"03","0354","035407","GUAGUA","035407","GUAGUA",,,,,,
"03","0354","035408","LUBAO","035408","LUBAO",,,,,,
"03","0354","035409","MABALACAT","035409","MABALACAT",,,,,,
"03","0354","035410","MACABEBE","035410","MACABEBE",,,,,,
"03","0354","035411","MAGALANG","035411","MAGALANG",,,,,,
"03","0354","035412","MASANTOL","035412","MASANTOL",,,,,,
"03","0354","035413","MEXICO","035413","MEXICO",,,,,,
"03","0354","035414","MINALIN","035414","MINALIN",,,,,,
"03","0354","035415","PORAC","035415","PORAC",,,,,,
"03","0354","035416","CITY OF SAN FERNANDO (Capital)","035416","CITY OF SAN FERNANDO (Capital)",,,,,,
"03","0354","035417","SAN LUIS","035417","SAN LUIS",,,,,,
"03","0354","035418","SAN SIMON","035418","SAN SIMON",,,,,,
"03","0354","035419","SANTA ANA","035419","SANTA ANA",,,,,,
"03","0354","035420","SANTA RITA","035420","SANTA RITA",,,,,,
"03","0354","035421","SANTO TOMAS","035421","SANTO TOMAS",,,,,,
"03","0354","035422","SASMUAN (SEXMOAN)","035422","SASMUAN (SEXMOAN)",,,,,,
"03","0369","036901","ANAO","036901","ANAO",,,,,,
"03","0369","036902","BAMBAN","036902","BAMBAN",,,,,,
"03","0369","036903","CAMILING","036903","CAMILING",,,,,,
"03","0369","036904","CAPAS","036904","CAPAS",,,,,,
"03","0369","036905","CONCEPCION","036905","CONCEPCION",,,,,,
"03","0369","036906","GERONA","036906","GERONA",,,,,,
"03","0369","036907","LA PAZ","036907","LA PAZ",,,,,,
"03","0369","036908","MAYANTOC","036908","MAYANTOC",,,,,,
"03","0369","036909","MONCADA","036909","MONCADA",,,,,,
"03","0369","036910","PANIQUI","036910","PANIQUI",,,,,,
"03","0369","036911","PURA","036911","PURA",,,,,,
"03","0369","036912","RAMOS","036912","RAMOS",,,,,,
"03","0369","036913","SAN CLEMENTE","036913","SAN CLEMENTE",,,,,,
"03","0369","036914","SAN MANUEL","036914","SAN MANUEL",,,,,,
"03","0369","036915","SANTA IGNACIA","036915","SANTA IGNACIA",,,,,,
"03","0369","036916","CITY OF TARLAC (Capital)","036916","CITY OF TARLAC (Capital)",,,,,,
"03","0369","036917","VICTORIA","036917","VICTORIA",,,,,,
"03","0369","036918","SAN JOSE","036918","SAN JOSE",,,,,,
"03","0371","037101","BOTOLAN","037101","BOTOLAN",,,,,,
"03","0371","037102","CABANGAN","037102","CABANGAN",,,,,,
"03","0371","037103","CANDELARIA","037103","CANDELARIA",,,,,,
"03","0371","037104","CASTILLEJOS","037104","CASTILLEJOS",,,,,,
"03","0371","037105","IBA (Capital)","037105","IBA (Capital)",,,,,,
"03","0371","037106","MASINLOC","037106","MASINLOC",,,,,,
"03","0371","037107","OLONGAPO CITY","037107","OLONGAPO CITY",,,,,,
"03","0371","037108","PALAUIG","037108","PALAUIG",,,,,,
"03","0371","037109","SAN ANTONIO","037109","SAN ANTONIO",,,,,,
"03","0371","037110","SAN FELIPE","037110","SAN FELIPE",,,,,,
"03","0371","037111","SAN MARCELINO","037111","SAN MARCELINO",,,,,,
"03","0371","037112","SAN NARCISO","037112","SAN NARCISO",,,,,,
"03","0371","037113","SANTA CRUZ","037113","SANTA CRUZ",,,,,,
"03","0371","037114","SUBIC","037114","SUBIC",,,,,,
"03","0377","037701","BALER  (Capital)","037701","BALER  (Capital)",,,,,,
"03","0377","037702","CASIGURAN","037702","CASIGURAN",,,,,,
"03","0377","037703","DILASAG","037703","DILASAG",,,,,,
"03","0377","037704","DINALUNGAN","037704","DINALUNGAN",,,,,,
"03","0377","037705","DINGALAN","037705","DINGALAN",,,,,,
"03","0377","037706","DIPACULAO","037706","DIPACULAO",,,,,,
"03","0377","037707","MARIA AURORA","037707","MARIA AURORA",,,,,,
"03","0377","037708","SAN LUIS","037708","SAN LUIS",,,,,,
"04","0410","041001","AGONCILLO","041001","AGONCILLO",,,,,,
"04","0410","041002","ALITAGTAG","041002","ALITAGTAG",,,,,,
"04","0410","041003","BALAYAN","041003","BALAYAN",,,,,,
"04","0410","041004","BALETE","041004","BALETE",,,,,,
"04","0410","041005","BATANGAS CITY (Capital)","041005","BATANGAS CITY (Capital)",,,,,,
"04","0410","041006","BAUAN","041006","BAUAN",,,,,,
"04","0410","041007","CALACA","041007","CALACA",,,,,,
"04","0410","041008","CALATAGAN","041008","CALATAGAN",,,,,,
"04","0410","041009","CUENCA","041009","CUENCA",,,,,,
"04","0410","041010","IBAAN","041010","IBAAN",,,,,,
"04","0410","041011","LAUREL","041011","LAUREL",,,,,,
"04","0410","041012","LEMERY","041012","LEMERY",,,,,,
"04","0410","041013","LIAN","041013","LIAN",,,,,,
"04","0410","041014","LIPA CITY","041014","LIPA CITY",,,,,,
"04","0410","041015","LOBO","041015","LOBO",,,,,,
"04","0410","041016","MABINI","041016","MABINI",,,,,,
"04","0410","041017","MALVAR","041017","MALVAR",,,,,,
"04","0410","041018","MATAAS NA KAHOY","041018","MATAAS NA KAHOY",,,,,,
"04","0410","041019","NASUGBU","041019","NASUGBU",,,,,,
"04","0410","041020","PADRE GARCIA","041020","PADRE GARCIA",,,,,,
"04","0410","041021","ROSARIO","041021","ROSARIO",,,,,,
"04","0410","041022","SAN JOSE","041022","SAN JOSE",,,,,,
"04","0410","041023","SAN JUAN","041023","SAN JUAN",,,,,,
"04","0410","041024","SAN LUIS","041024","SAN LUIS",,,,,,
"04","0410","041025","SAN NICOLAS","041025","SAN NICOLAS",,,,,,
"04","0410","041026","SAN PASCUAL","041026","SAN PASCUAL",,,,,,
"04","0410","041027","SANTA TERESITA","041027","SANTA TERESITA",,,,,,
"04","0410","041028","SANTO TOMAS","041028","SANTO TOMAS",,,,,,
"04","0410","041029","TAAL","041029","TAAL",,,,,,
"04","0410","041030","TALISAY","041030","TALISAY",,,,,,
"04","0410","041031","CITY OF TANAUAN","041031","CITY OF TANAUAN",,,,,,
"04","0410","041032","TAYSAN","041032","TAYSAN",,,,,,
"04","0410","041033","TINGLOY","041033","TINGLOY",,,,,,
"04","0410","041034","TUY","041034","TUY",,,,,,
"04","0421","042101","ALFONSO","042101","ALFONSO",,,,,,
"04","0421","042102","AMADEO","042102","AMADEO",,,,,,
"04","0421","042103","BACOOR","042103","BACOOR",,,,,,
"04","0421","042104","CARMONA","042104","CARMONA",,,,,,
"04","0421","042105","CAVITE CITY","042105","CAVITE CITY",,,,,,
"04","0421","042106","DASMARIÃ‚ÂAS","042106","DASMARIÃ‚ÂAS",,,,,,
"04","0421","042107","GENERAL EMILIO AGUINALDO","042107","GENERAL EMILIO AGUINALDO",,,,,,
"04","0421","042108","GENERAL TRIAS","042108","GENERAL TRIAS",,,,,,
"04","0421","042109","IMUS","042109","IMUS",,,,,,
"04","0421","042110","INDANG","042110","INDANG",,,,,,
"04","0421","042111","KAWIT","042111","KAWIT",,,,,,
"04","0421","042112","MAGALLANES","042112","MAGALLANES",,,,,,
"04","0421","042113","MARAGONDON","042113","MARAGONDON",,,,,,
"04","0421","042114","MENDEZ (MENDEZ-NUÃ‚ÂEZ)","042114","MENDEZ (MENDEZ-NUÃ‚ÂEZ)",,,,,,
